award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
70B01C26F00000073,FISHER SAND & GRAVEL CO,1787500000.0,2026-01-06,Department of Homeland Security,U.S. Customs and Border Protection,,,NM,"DESIGN AND CONSTRUCT NEW VERTICAL BARRIER AND POWER DISTRIBUTION, LIGHTING, CAMERAS, EQUIPMENT SHELTERS AND LINEAR GROUND DETECTION SYSTEM (LGDS) IN HILDAGO COUNTY, NM."
N0001913C0023,BELL TEXTRON INC,1782171428.98,2013-04-01,Department of Defense,Defense Contract Management Agency,,,TX,UH-1Y AND AH-1Z LONG LEAD PARTS LIST AAC
75N91020F00003,LEIDOS BIOMEDICAL RESEARCH INC,1775380496.13,2020-08-31,Department of Health and Human Services,National Institutes of Health,,,MD,NCI OPERATIONAL TASK ORDER
W58P0522C0009,IHEALTH LABS INC.,1774999987.2,2022-01-13,Department of Defense,Department of the Army,,,CA,COVID-19 ANTIGEN TEST
W56HZV06C0173,HONEYWELL INTERNATIONAL INC.,1773472789.45,2005-12-16,Department of Defense,Department of the Army,,,AZ,
FA867515C0022,RAYTHEON COMPANY,1769825200.93,2014-12-22,Department of Defense,Defense Contract Management Agency,,,AZ,ADVANCED MEDIUM RANGE AIR TO AIR MISSILE (AMRAAM) PRODUCTION LOTS 28-30 FY14-16
N0001915C0031,LOCKHEED MARTIN CORPORATION,1764499475.16,2014-10-28,Department of Defense,Department of the Navy,,,TX,LOGISTICS SUPPORT CONTRACT
75A50120C00034,"MODERNATX, INC.",1754345480.45,2020-04-03,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,,,MA,"DEVELOPMENT OF MRNA VACCINE TO LICENSURE FOR THE PREVENTION OF COVID-19. CLIN 0001 - PRE-AWARD COST, CLIN 0002 - DEVELOPMENT OF MRNA VACCINE TO BLA AND CLIN 0003 - DOMESTIC MANUFACTURING SCALE-OUT"
VA11817F1888,DELL FEDERAL SYSTEMS L.P,1730532626.58,2017-03-31,Department of Veterans Affairs,Department of Veterans Affairs,,,TX,THE PURPOSE OF THIS ACQUISITION IS TO PROVIDE THE DEPARTMENT OF VETERANS AFFAIRS WITH AN ENTERPRISE AGREEMENT FOR BRAND NAME MICROSOFT SOFTWARE PRODUCTS AND SERVICES.  THIS ENTERPRISE AGREEMENT WILL P
FA861517C6047,NORTHROP GRUMMAN SYSTEMS CORPORATION,1730517759.3,2017-05-31,Department of Defense,Department of the Air Force,,,MD,F-16 ACTIVE ELECTRONICALLY SCANNED ARRAY JOINT EMERGENT OPERATIONAL NEED
FA881119C0002,"UNITED LAUNCH SERVICES, LLC",1728709520.93,2018-10-24,Department of Defense,Defense Contract Management Agency,,,CO,DELTA IV HEAVY LAUNCH SERVICES
N0001914C0037,GENERAL ATOMICS,1726726793.3,2014-05-08,Department of Defense,Department of the Navy,,,CA,CVN 79 EMALS LONG LEAD TIME MATERIAL
F1962800C0100,NORTHROP GRUMMAN SYSTEMS CORPORATION,1726084211.32,2000-01-11,Department of Defense,Department of the Air Force,,,CA,200103!000014!5700!GV47  !ESC/JSK                         !F1962800C0100  !A!N!*!N!                   !20001211!20031231!938535028!008255408!016435559!N!NORTHROP GRUMMAN SYSTEMS CORPO!ONE HORNET WAY  
NMO710846,CALIFORNIA INSTITUTE OF TECHNOLOGY,1725568202.42,2003-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,MARS SCIENCE LABORATORY
N0001904C0569,RAYTHEON COMPANY,1723610644.06,2004-08-18,Department of Defense,Defense Contract Management Agency,,,AZ,
70B01C26F00000345,SOUTHWEST VALLEY CONSTRUCTORS CO,1720040000.0,2026-05-11,Department of Homeland Security,U.S. Customs and Border Protection,,,TX,"AWARD OF CONSTRUCTION TASK ORDER FOR BORDER WALL IN BIG BEND TEXAS, SEGMENT IDENTIFIED AS BBT-4."
89303921FEM400037,"CENTRAL PLATEAU CLEANUP COMPANY, LLC",1701793004.73,2021-08-16,Department of Energy,Department of Energy,,,WA,"HANFORD CENTRAL PLATEAU CLEANUP CONTRACT - TASK ORDER 4 - END STATES & BASE OPS.  THIS TASK ORDER IS ISSUED AS AN UNDEFINITIZED TASK ORDER PURSUANT TO CLAUSE H.49, TASK ORDERING PROCEDURE.  NOTICE-TO-"
DTFAWA10C00080,THE MITRE CORPORATION,1701696966.84,2010-07-22,Department of Transportation,Federal Aviation Administration,,,VA,CENTER FOR ADVANCED AVIATION DEVELOPMENT (CAASD) FFRDC MITRE
W31P4Q19C0076,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,1694838191.74,2019-09-12,Department of Defense,Department of the Army,,,AZ,"JAVELIN PRODUCTION CONTRACT AWARD TO INCLUDE THE ALL UP ROUNDS (AUR), BATTERY COOLANT UNITS (BCU), AND JAVELIN VEHICLE LAUNCHER ELECTRONICS (JVL-E)."
W15P7T06CM209,RAYTHEON COMPANY,1694462603.95,2006-07-29,Department of Defense,Department of the Army,,,TX,
N0003012C0101,LOCKHEED MARTIN CORP,1676646362.0,2012-07-06,Department of Defense,Department of the Navy,,,CA,FY13 LONG LEAD MATERIAL
N0002414C5315,RAYTHEON COMPANY,1671263971.83,2013-10-10,Department of Defense,Department of the Navy,,,MA,AMDR BASIC CONTRACT AWARD FOR EMD AND EXERCISE OF ENHANCED DATA RIGHTS CLIN
0006,THE BOEING COMPANY,1655050154.0,2011-05-13,Department of Defense,Defense Contract Management Agency,,,CA,FY10 UCA FOR 5 USAF A/C
HSCG2313CADB014,HUNTINGTON INGALLS INCORPORATED,1654352379.0,2013-04-30,Department of Homeland Security,U.S. Coast Guard,,,MS,PRODUCTION&DELIVERY OF NATIONAL SECURITY CUTTER (NSC) 6.
W52P1J21F0454,"KBR SERVICES, LLC",1654082845.44,2021-08-30,Department of Defense,Department of the Army,,,TX,"TASK ORDER AWARD FOR LOGCAP SUPPORT TO OPERATION ALLIES REFUGE FOR SUPPORT AT FT. BLISS, TX FT. MCCOY, WI FT. PICKETT, VA AND CAMP ATTERBURY, IN."
FA862616C2139,RTX CORPORATION,1651199673.57,2016-06-30,Department of Defense,Department of the Air Force,,,CT,ADAPTIVE ENGINE TRANSITION PROGRAM  (AETP)
70B01C26F00000044,FISHER SAND & GRAVEL CO,1650754000.0,2025-12-23,Department of Homeland Security,U.S. Customs and Border Protection,,,AZ,YUM-2 VERTICAL BORDER AND WATERBORNE BARRIER CONSTRUCTION
N0002408C2217,"AUSTAL USA, LLC",1650327235.1,2008-01-31,Department of Defense,Department of the Navy,,,AL,PHASE I: PRELIMINARY CONCEPT DESIGN FOR THE JOINT HIGH SPEED VESSEL.
W58RGZ04C0012,THE BOEING COMPANY,1632290425.87,2003-12-03,Department of Defense,Department of the Army,,,PA,200412!001129!2100!W58RGZ!USA AVIATION AND MISSILE COMMAND!W58RGZ04C0012  !A!N! !N!             !      !20031203!20070630!172316432!172316432!009256819!N!THE BOEING COMPANY            !ROUTE 291 & STE
N0002418C2300,LOCKHEED MARTIN CORPORATION,1629900048.52,2017-10-06,Department of Defense,Department of the Navy,,,MD,CONSTRUCTION OF LCS FLIGHT 0+ SHIP
0009,BAE SYSTEMS LAND & ARMAMENTS L.P.,1624180131.17,2006-07-26,Department of Defense,Department of the Army,,,PA,200612!007793!2100!W56HZV!TACOM - WARREN                  !W56HZV05G0005  !A!N! !N!0009         !      !20060726!20081231!834476079!824825459!217304393!N!BAE SYSTEMS LAND & ARMAMENTS I!1100 BAIRS RD  
N0001915C0114,LOCKHEED MARTIN CORPORATION,1621042892.68,2015-08-31,Department of Defense,Department of the Navy,,,TX,LRIP 9 NON ANNUALIZED AWARD
N6852022F7005,VERTEX AEROSPACE LLC,1617638447.88,2021-10-14,Department of Defense,Defense Contract Management Agency,,,MD,"T45 CLS CMMARS TASK ORDER, MATERIALS - AIRCRAFT MAINTENANCE"
NNH15CN76C,NORTHROP GRUMMAN SYSTEMS CORPORATION,1614792955.3,2015-09-03,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,VA,IGF::OT::IGF NEXTSTEP NRA AWARD.  THIS NEXTSTEP CONTRACT BUILDS UPON THE SUCCESS OF COMMERCIAL ORBITAL TRANSPORTATION SERVICES SPACE ACT AGREEMENT DEVELOPMENT PROGRAM AND AN EXISTING INTERNATIONAL SPA
W31P4Q23F0006,LOCKHEED MARTIN CORPORATION,1611793487.23,2022-10-21,Department of Defense,Department of the Army,,,TX,GUIDED MULTIPLE LAUNCH ROCKET SYSTEM (GMLRS) AND LOW COST REDUCED RANGE PRACTICE ROCKET (LCRRPR) FY 23 FULL RATE PRODUCTION LOT 18 DELIVERY ORDER
W31P4Q23C0036,RAYTHEON COMPANY,1607872304.74,2023-09-29,Department of Defense,Department of the Army,,,MA,REQUIREMENT FOR PATRIOT M903 LAUNCHING STATIONS.
80NM0021F0008,CALIFORNIA INSTITUTE OF TECHNOLOGY,1604322463.0,2020-12-17,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,MARS SAMPLE RETURN (MSR) PROGRAM - PHASE A 40-108270
FA862512C6598,NORTHROP GRUMMAN SYSTEMS CORPORATION,1603584166.83,2012-02-17,Department of Defense,Department of the Air Force,,,IL,"ACAT 1C, ASC/WLY, LAIRCM FOLLOW-ON (LAF)"
W58P0522C0002,"GLAXOSMITHKLINE, LLC",1597461996.0,2021-11-15,Department of Defense,Department of the Army,,,NC,:COVID-19: SOTROVIMAB MONOCLONAL ANDTIBODIES
0007,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1594101040.69,2016-06-03,Department of Defense,Department of the Air Force,,,MA,IGF::OT::IGF TRANSITION OF PROGRAMS FROM MIT LL CONTRACT FA8721-05-C-0002 TO MIT LL CONTRACT FA8702-15-D-0001
89303321CEM000080,"BATTELLE SAVANNAH RIVER ALLIANCE, LLC",1593068301.18,2020-12-22,Department of Energy,Department of Energy,,,SC,SAVANNAH RIVER NATIONAL LABORATORY MANAGEMENT AND OPERATING (M&O) CONTRACT
36C10B22F0089,DELL FEDERAL SYSTEMS L.P,1590136261.87,2022-03-29,Department of Veterans Affairs,Department of Veterans Affairs,,,TX,VA MICROSOFT ENTERPRISE LICENSE AGREEMENT.
N0001911C0020,LOCKHEED MARTIN CORPORATION,1589570893.76,2011-01-05,Department of Defense,Department of the Navy,,,NY,"ADVANCE ACQUISITION CONTRACT TO PROCURE LONG-LEAD ITEMS FOR FY12 MH-60R MISSION AVIONICS SYSTEMS AND MH-60R/S COMMON COCKPITS, AS WELL AS END-OF-LIFE COMPONENTS TO PROTECT DELIVERY SCHEDULE REQUIREMEN"
19AQMM18C0185,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",1585600444.54,2018-09-05,Department of State,Department of State,,,VA,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.
70B01C26F00000292,"BARNARD CONSTRUCTION COMPANY, INCORPORATED",1585324926.0,2026-04-24,Department of Homeland Security,U.S. Customs and Border Protection,,,TX,BORDER WALL CONSTRUCTION FOR EL PASO SECTOR - EPT-5
HSCG2314CAPC002,"EASTERN SHIPBUILDING GROUP, INC.",1578692803.24,2014-02-11,Department of Homeland Security,U.S. Coast Guard,,,FL,OPC P&CD CONTRACT 2 REFERENCE SOLICITATION NUMBER HSCG23-12-R-OPC0001
FA872609C0010,NORTHROP GRUMMAN SYSTEMS CORPORATION,1578172932.36,2009-06-24,Department of Defense,Department of the Air Force,,,CA,BATTLEFIELD AIRBORNE COMMUNICATIONS NODE RAPID FIELDING
N0002407C6311,L3HARRIS NEXGEN COMMUNICATIONS LLC,1573743464.29,2007-04-09,Department of Defense,Defense Contract Management Agency,,,NH,BASIC AWARD OF THE 2.1 PRODUCTION SYSTEMS
FA861120F1010,RTX CORPORATION,1573148446.22,2019-12-18,Department of Defense,Department of the Air Force,,,CT,F119 ENGINE SUSTAINMENT
DTFA0102D03006CALL0001,HARRIS CORPORATION,1568875082.68,2003-10-20,Department of Transportation,Federal Aviation Administration,,,FL,DAFIS UDO RECONSTRUCT W/O ADVANCE
HT940213C0008,PACMED CLINICS,1564810239.08,2013-09-12,Department of Defense,Defense Health Agency,,,WA,COMPREHENSIVE HEALTHCARE SERVICES
FA862524F3034,LOCKHEED MARTIN CORP,1564462687.0,2023-12-21,Department of Defense,Department of the Air Force,,,GA,C-130J COMBINED AIRCRAFT DELIVERY DEVELOPMENT INTEGRATION AND ENGINEERING (CADDIE) FY23 C-130J CONGRESSIONAL ADD AIRCRAFT
W90BRJ15C0004,"VINNELL ARABIA, LLC",1558808139.13,2014-12-21,Department of Defense,Department of the Army,,,,IGF::OT::IGF TRAINING AND SUPPORT FOR THE BENEFIT OF MNG.
89304223FEM400000,IDAHO ENVIRONMENTAL COALITION LLC,1554869544.09,2023-09-08,Department of Energy,Department of Energy,,,ID,THE PURPOSE OF THIS ACTION IS TO AWARD THE ICP TEN YEAR PLAN HYBRID TASK ORDER UNDER SINGLE AWARD MASTER IDIQ CONTRACT 89303321DEM000061.  CLIN 05 S1W D&D IS INCLUDED WITH AUTHORIZATION TO COMMENCE SC
N0001922F0030,THE BOEING COMPANY,1553797869.15,2022-03-02,Department of Defense,Department of the Navy,,,MO,"HARPOON COASTAL DEFENSE SYSTEM FOR LAUNCHER TRANSPORTER UNITS (LTUS), RADAR UNITS (RUS) AND TRAINING EQUIPMENT."
0004,OSHKOSH DEFENSE LLC,1553283936.83,2010-11-29,Department of Defense,Department of the Army,,,WI,"ADDING 1,941 EACH FAMILY OF MEDIUM TACTICAL VEHICLES (FMTV) AND FRET FOR ARMY NATIONAL GUARD REQUIREMENTS"
W58RGZ08C0023,TEXTRON SYSTEMS CORPORATION,1551565403.77,2007-10-31,Department of Defense,Department of the Army,,,MD,PROCURE 14 SHADOW UNMANNED AIRCRAFT SYSTEMS
80KSC019C0013,"BECHTEL NATIONAL, INC.",1550689354.01,2019-06-25,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,VA,DESIGN AND CONSTRUCTION OF THE NASA SPACE LAUNCH SYSTEM (SLS) MOBILE LAUNCHER 2 (ML2).
NAS503127,"ASSOCIATION OF UNIVERSITIES FOR RESEARCH IN ASTRONOMY, INC.",1549311664.49,2003-06-06,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,MD,"THE PRIMARY ACTIVITIES COVERED BY THIS EFFORT SPAN THE MAJOR PHASES OF THE MISSION BEGINNING WITH FORMULATION THROUGH DEVELOPMENT AND TESTING, AND ENDING ONE YEAR AFTER LAUNCH WITH THE INITIATION OF T"
N0001914C0004,RTX CORPORATION,1540870365.89,2014-05-02,Department of Defense,Department of the Navy,,,CT,LRIP LOT IX F135 PROPULSION SYTEMS FOR LONG LEAD-TIME ITEMS
HSCG2308C2FR125,"BOLLINGER SHIPYARDS LOCKPORT, L.L.C.",1536934924.76,2008-09-26,Department of Homeland Security,U.S. Coast Guard,,,LA,USCG FAST RESPONSE CUTTER B CLASS (FRC-B)
N0003015C0100,LOCKHEED MARTIN CORP,1533695409.0,2015-07-07,Department of Defense,Department of the Navy,,,CA,LONG LEAD MATERIAL
36C10G23K0055,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",1529647200.16,2023-01-01,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: Q2 FY23 CCN REGION 3
N0001918C1060,THE BOEING COMPANY,1518660771.0,2018-06-27,Department of Defense,Defense Contract Management Agency,,,MO,28 KUWAIT KAF-18E/F AIRCRAFT AND 56 COMMERCIAL PXMC CARDS
N0002415C4301,HUNTINGTON INGALLS INC,1514555869.0,2015-08-14,Department of Defense,Department of the Navy,,,VA,USS COLUMBUS (SSN 762) EOH PLANNING
M6785419C0043,NORTHROP GRUMMAN SYSTEMS CORPORATION,1511353721.66,2019-06-07,Department of Defense,Department of the Navy,,,MD,G/ATOR GAN FRP LOT 1 QTY 4
HQ014711C0006,NORTHROP GRUMMAN SYSTEMS CORPORATION,1510737189.71,2011-03-07,Department of Defense,Missile Defense Agency,,,AZ,IRBM TARGETS
36C10G23K0052,TRIWEST HEALTHCARE ALLIANCE CORP,1510328699.11,2023-06-15,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT: QUARTER 1
F3365701C0047,THE BOEING COMPANY,1510098200.2,2001-07-30,Department of Defense,Defense Contract Management Agency,,,KS,
EDFSA15C0006,ACCENTURE FEDERAL SERVICES LLC,1507684723.07,2015-03-05,Department of Education,Department of Education,,,DC,"IGF::CL::IGF - TIVOD SUPPORTS THE ORIGINATION, DISBURSEMENT, AND REPORTING OF TITLE IV FEDERAL STUDENT AID PROGRAMS, INCLUDING - BUT NOT LIMITED TO - DIRECT LOANS, PELL GRANTS, AND THE TEACHER EDUCATI"
W31P4Q08C0418,NORTHROP GRUMMAN SYSTEMS CORPORATION,1505614414.06,2008-09-23,Department of Defense,Department of the Army,,,AL,INTEGRATED AIR AND MISSILE DEFENSE (IAMD)BATTLE COMMAND SYSTEM (IBCS) BASIC AWARD FOR STEP I/PHASE-I PRELIMINARY DESIGN REVIEW (PDR)
FA861512C6012,LOCKHEED MARTIN CORPORATION,1504761364.98,2011-12-02,Department of Defense,Department of the Air Force,,,TX,IRAQ F-16C/D BLOCK 52 AIRCRAFT PRODUCTION PROGRAM
W15P7T04CE405,"GENERAL DYNAMICS MISSION SYSTEMS, INC.",1504359694.01,2004-07-16,Department of Defense,Defense Contract Management Agency,,,AZ,200410!005969!2100!W15P7T!USA COMMUNICATIONS-ELECTRONICS  !W15P7T04CE405  !A!N! !N!             !      !20040716!20111230!046863929!046863929!001381284!N!GENERAL DYNAMICS DECISION SYST!8201 E  MCDOWEL
DTFAWA12C00064,PARSONS GOVERNMENT SERVICES INC.,1501103618.93,2012-08-23,Department of Transportation,Federal Aviation Administration,,,DC,"THE CONTRACTOR MUST FURNISH ALL PROFESSIONAL, TECHNICAL AND SUPPORT LABOR, MATERIAL, SUPPLIES, MANAGEMENT SERVICES, DATA, AND FACILITIES REQUIRED TO ACCOMPLISH THE WORK TO BE ORDERED UNDER TECHNICAL F"
80GSFC19C0063,PERATON INC.,1499608688.36,2019-06-27,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,VA,THE EXPLORATION AND SPACE COMMUNICATIONS PROJECTS DIVISION (ESC) IS A NATIONAL RESOURCE LOCATED AT GODDARD SPACE FLIGHT CENTER (GSFC) WHICH ENABLES SCIENTIFIC DISCOVERY AND SPACE EXPLORATION BY PROVID
36C10B18N0003,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",1496628663.21,2018-05-17,Department of Veterans Affairs,Department of Veterans Affairs,,,KS,"IGF::OT::IGF TASK ORDER 36C10B18N0003 UNDER IDIQ CONTRACT 36C10B18D5000 FOR OPERATIONAL MANAGEMENT SERVICES, TO INCLUDE HOSTING, FOR THE EHRM APPLICATIONS, APPLICATION SERVICES, AND ALL SUPPORTING EHR"
W52P1J19F0402,VECTRUS SYSTEMS LLC,1493875576.56,2019-04-12,Department of Defense,Department of the Army,,,,LOGISTICS CIVIL AUGMENTATION PROGRAM (LOGCAP) V AWARD FOR IRAQ.
W58RGZ14C0018,THE BOEING COMPANY,1491571063.47,2014-04-24,Department of Defense,Defense Contract Management Agency,,,AZ,ADVANCED PROCUREMENT FUNDING FOR LONG LEAD ITEMS
W15QKN13C0074,NORTHROP GRUMMAN SYSTEMS CORPORATION,1490942764.8,2013-08-30,Department of Defense,Department of the Army,,,MN,"TO AWARD PRODUCTION EFFORT FOR THE PRECISION GUIDANCE KIT (PGK)TO INCLUDE ARMY, MARINES, FMS QUANTITIES, FFP, BASE WITH 2 OPTIONS INCLUDING SPECIAL LICENSE RIGHTS (TDP)."
36C10G23K0056,"OPTUM PUBLIC SECTOR SOLUTIONS, INC.",1484762480.58,2023-07-28,Department of Veterans Affairs,Department of Veterans Affairs,,,VA,EXPRESS REPORT:Q3 EXPRESS REPORT R2
FA860926FB002,THE BOEING COMPANY,1484114000.0,2026-02-27,Department of Defense,Department of the Air Force,,,WA,KC-46 FMS EFFORT FOR ISRAEL AIRCRAFT 5&6 AND JAPAN AIRCRAFT 7-10.
HT940223C0006,THE JOHNS HOPKINS MEDICAL SERVICES CORPORATION,1480800000.0,2023-09-26,Department of Defense,Defense Health Agency,,,MD,MANAGED HEALTH CARE PLAN SERVICES FROM A DESIGNATED PROVIDER
HHSD200201458150C,MERCK SHARP & DOHME LLC,1480605083.86,2014-03-27,Department of Health and Human Services,Centers for Disease Control and Prevention,,,PA,VSCCINE FOR CHILDREN (VFC) 2014
DOC003,T-REX SOLUTIONS LLC,1480169956.14,2016-08-26,Department of Commerce,U.S. Census Bureau,,,MD,IGF::OT::IGF  ENTERPRISE SOLUTIONS FRAMEWORK (ESF) FOR MULTI-TIERED ACQUISITION FRAMEWORK FOR SYSTEMS ENGINEERING AND INTEGRATION - PROGRAM TIER WORK ORDER 003 - 2020 CENSUS TECHNICAL INTEGRATOR
70B01C26C00000006,"AMI METALS, INC",1474828685.83,2026-02-11,Department of Homeland Security,U.S. Customs and Border Protection,,,TX,BULK STEEL FOR SOUTHWEST BORDER BARRIER CONSTRUCTION PROJECTS
N0002423C5403,RAM-SYSTEM GMBH,1472521136.67,2022-10-26,Department of Defense,Department of the Navy,,,,RAM MK 44 MOD 6 GMRP (BLK 2B)
80NM0018F0850,CALIFORNIA INSTITUTE OF TECHNOLOGY,1470526588.34,2018-09-18,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,"DEEP SPACE NETWORK (DSN)  THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOLOGY (CONTRACTOR), A PRIVATE N"
N0002416C2111,ELECTRIC BOAT CORPORATION,1469859369.0,2016-08-26,Department of Defense,Department of the Navy,,,CT,IGF::OT::IGF VCS LEAD YARD SERVICES
FA870219F0001,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,1469693798.1,2019-02-26,Department of Defense,Department of the Air Force,,,MA,IGF::OT::IGF MASSACHUSETTS INSTITUTE OF TECHNOLOGY: LINCOLN LABORATORY - RESEARCH AND DEVELOPMENT
HT940213C0007,"BRIGHTON MARINE, INC.",1467822926.94,2013-09-10,Department of Defense,Defense Health Agency,,,MA,COMPREHENSIVE HEALTHCARE SERVICES
W58P0522C0012,ELI LILLY AND COMPANY,1463250000.0,2022-02-10,Department of Defense,Department of the Army,,,IN,LYCOV1404 BEBTELOVIMAB
HSCG2316CADB016,HUNTINGTON INGALLS INCORPORATED,1460701662.72,2016-08-30,Department of Homeland Security,U.S. Coast Guard,,,MS,LONG LEAD TIME MATERIAL (LLTM) FOR NATIONAL SECURITY CUTTER (NSC) 9
HHSD200201793273C,MERCK SHARP & DOHME LLC,1453663189.8,2017-03-30,Department of Health and Human Services,Centers for Disease Control and Prevention,,,NJ,IGF::OT::IGF 2017 VACCINES FOR CHILDREN
HQ085121C0001,LOCKHEED MARTIN CORPORATION,1453527651.73,2020-10-02,Department of Defense,Missile Defense Agency,,,NJ,BASELINE J7.B DEVELOPMENT LOE
NNJ10TB01C,"HAMILTON SUNDSTRAND SPACE SYSTEMS INTERNATIONAL, INC.",1451665745.1,2010-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,TX,EXTRAVEHICULAR SPACE OPERATIONS CONTRACT (ESOC)
W31P4Q25F0080,LOCKHEED MARTIN CORPORATION,1448823842.98,2025-06-23,Department of Defense,Department of the Army,,,TX,GUIDED MULTIPLE LAUNCH ROCKET SYSTEM (GMLRS) AND LOW COST REDUCED RANGE PRACTICE ROCKET (LCRRPR) FY26 FULL RATE PRODUCTION LOT 21 DELIVERY ORDER.
W912GB10C0031,MISCELLANEOUS FOREIGN AWARDEES,1448239262.48,2010-06-18,Department of Defense,Department of the Army,,,,ADDITIONAL SERVICES MCA-FUNDED
N0001917C0045,LOCKHEED MARTIN CORPORATION,1443726578.57,2017-02-28,Department of Defense,Department of the Navy,,,TX,FY17A F-35 SUSTAINMENT - FMS
N0002423C2452,TEXTRON SYSTEMS CORP,1436316386.0,2023-08-04,Department of Defense,Department of the Navy,,,LA,THREE FUTURE LCAC 100 CLASS CRAFT LONG LEAD TIME MATERIAL
47QFSA20F0057,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,1432945155.91,2020-05-05,General Services Administration,Federal Acquisition Service,,,AL,SOFTWARE LIFE CYCLE DEVELOPMENT
HHSO100200900101C,SEQIRUS INC,1430622665.0,2009-01-13,Department of Health and Human Services,Office of Assistant Secretary for Preparedness and Response,,,MA,TAS::75 0140::TAS CONSTRUCTION OF VACCINE MANUFACTURING FACILITY
36C10B22N0051EHRM,"ORACLE HEALTH GOVERNMENT SERVICES, INC.",1424879474.43,2022-09-28,Department of Veterans Affairs,Department of Veterans Affairs,,,KS,"EHRM WAVES K, L, M (VISN 23) AND N, O (VISN 15) DEPLOYMENTS"
FA882321C0001,LOCKHEED MARTIN CORP,1424651424.09,2021-06-04,Department of Defense,Department of the Air Force,,,CO,"SPACE BASED INFRARED SYSTEMS CONTRACTOR LOGISTICS SUPPORT. PRODUCT SUPPORT INTEGRATION, CONTRACT EVOLUTION"
N0002420C5405,RAYTHEON COMPANY,1418484083.6,2019-12-20,Department of Defense,Defense Contract Management Agency,,,AZ,SM-6 BLK IA TACTICAL ALL UP ROUND (AUR)
N0002410C2118,ELECTRIC BOAT CORPORATION,1418130936.0,2010-07-02,Department of Defense,Department of the Navy,,,CT,LEAD YARD SERVICES
W31P4Q13C0129,RAYTHEON/LOCKHEED MARTIN JAVELIN JV,1415941922.87,2013-05-17,Department of Defense,Department of the Army,,,AZ,UCA AWARD FY13 BLOCK 1 TACTICAL ROUNDS: US ARMY AND USMC
FA865622FA071,RAYTHEON COMPANY,1411745212.76,2022-09-22,Department of Defense,Department of the Air Force,,,AZ,HACM - SCIFIRE
N0002420C5519,NORTHROP GRUMMAN SYSTEMS CORPORATION,1409895949.82,2020-09-30,Department of Defense,Defense Contract Management Agency,,,MD,BLOCK 3 EA SUBSYSTEM HEMISPHERE PRODUCTION
36C24026K1002,MCKESSON CORPORATION,1406868182.35,2025-11-01,Department of Veterans Affairs,Department of Veterans Affairs,,,TX,EXPRESS REPORT: PHARMACEUTICAL PRIME VENDOR (PPV)FY2026 NOVEMBER
NNN13D496T,CALIFORNIA INSTITUTE OF TECHNOLOGY,1403381590.45,2013-07-24,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,IGF::CL::IGF 2020 MARS SCIENCE ROVER PROJECT - PHASE A THE CONTRACT IS THE SPONSORING AGREEMENT BETWEEN THE NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA) AND THE CALIFORNIA INSTITUTE OF TECHNOL
N0002411C2305,BATH IRON WORKS CORPORATION,1403317277.0,2011-09-26,Department of Defense,Department of the Navy,,,ME,CONSTRUCTION OF DDG 51 CLASS DESTROYER
36C10G21K0056,TRIWEST HEALTHCARE ALLIANCE CORP,1402860602.01,2021-08-05,Department of Veterans Affairs,Department of Veterans Affairs,,,AZ,EXPRESS REPORT FOR 2QTR FY2021 UNDER PC3 CONTRACT
70Z02322C93220001,"AUSTAL USA, LLC",1402839310.77,2022-07-05,Department of Homeland Security,U.S. Coast Guard,,,AL,OFFSHORE PATROL CUTTER (OPC) STAGE 2 CONTRACT: DETAILED DESIGN AND PRODUCTION (DD&P) OF 11 OPCS.
HQ085121C0002,LOCKHEED MARTIN CORPORATION,1401875693.1,2020-10-30,Department of Defense,Missile Defense Agency,,,NJ,AEGIS BASELINE 5.4.1 (BMD 4.2)
NMO710820,CALIFORNIA INSTITUTE OF TECHNOLOGY,1399491608.19,2003-09-30,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CA,DEEP SPACE NETWORK
